dateTime;next_dateTime;arr_volume_group;dep_volume_group;volume_group;metarKey;noPhenDetected;recent;intensity;characteristic;phenomenon1;phenomenon2;phenomenon3
2019-07-30 22:00:00.000;2019-07-30 22:30:00.000;MEDIA;MEDIA;MEDIA;4786100;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 23:00:00.000;2019-07-30 23:30:00.000;BAJA;BAJA;BAJA;4786102;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 00:00:00.000;2019-07-31 00:30:00.000;BAJA;BAJA;BAJA;4788601;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 03:30:00.000;2019-07-31 04:00:00.000;MEDIA;BAJA;MEDIA;4788608;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 04:30:00.000;2019-07-31 05:00:00.000;BAJA;MEDIA;MEDIA;4788610;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 07:00:00.000;2019-07-31 07:30:00.000;ALTA;ALTA;ALTA;4788615;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 08:00:00.000;2019-07-31 08:30:00.000;ALTA;ALTA;ALTA;4788617;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 16:00:00.000;2019-07-31 16:30:00.000;MEDIA;MEDIA;MEDIA;4788633;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 17:00:00.000;2019-07-31 17:30:00.000;ALTA;MEDIA;MEDIA;4788635;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 19:30:00.000;2019-07-31 20:00:00.000;ALTA;MEDIA;MEDIA;4788640;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 20:30:00.000;2019-07-31 21:00:00.000;ALTA;MEDIA;MEDIA;4788642;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-31 21:30:00.000;2019-07-31 22:00:00.000;MEDIA;MEDIA;MEDIA;4788644;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 01:30:00.000;2019-08-01 02:00:00.000;BAJA;BAJA;BAJA;4791064;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 02:30:00.000;2019-08-01 03:00:00.000;BAJA;BAJA;BAJA;4791066;0;0;NULL;NULL;NULL;NULL;NULL
